date,animal_id,stage,days_relative_to_stage_5,fix_experiment,max_fixation_dur,trials,fixation_delta,valid_trials
2024-09-05,R048,7.0,26,V1,0.9761002434932318,405.0,0.057299918835589714,329.0
2024-09-05,R052,7.0,30,V1,0.958211326739435,223.0,0.16394716831514156,174.0
2024-09-05,R056,7.0,28,V1,1.190682228861226,296.0,-0.3421409056981175,231.0
2024-09-06,R048,7.0,27,V1,0.993325182619924,357.0,0.017224939126692207,299.0
2024-09-06,R052,7.0,31,V1,0.9519873623806332,380.0,-0.006223964358801792,337.0
2024-09-06,R056,7.0,29,V1,1.2943449383604693,316.0,0.10366270949924328,262.0
2024-09-07,R048,7.0,28,V1,1.0778371755983875,331.0,0.08451199297846357,274.0
2024-09-07,R052,7.0,32,V1,1.1058767092807822,386.0,0.153889346900149,339.0
2024-09-07,R056,7.0,30,V1,1.245702158599455,260.0,-0.048642779761014276,206.0
2024-09-08,R048,7.0,29,V1,1.18283157412294,388.0,0.1049943985245525,342.0
2024-09-08,R052,7.0,33,V1,1.1612667634665377,314.0,0.05539005418575549,261.0
2024-09-08,R056,7.0,31,V1,1.2098140044418824,246.0,-0.03588815415757263,199.0
2024-09-11,R048,7.0,30,V1,1.4176269897483285,389.0,0.23479541562538842,319.0
2024-09-11,R052,7.0,34,V1,1.2534509231064237,332.0,0.09218415963988602,278.0
2024-09-11,R056,7.0,32,V1,1.3288021321940222,242.0,0.11898812775213985,208.0
2024-09-12,R048,7.0,31,V1,1.3517191874923402,497.0,-0.06590780225598825,416.0
2024-09-12,R052,7.0,35,V1,1.3315486848108309,369.0,0.07809776170440719,312.0
2024-09-12,R056,7.0,33,V1,1.5536732191465974,342.0,0.22487108695257518,273.0
2024-09-13,R048,7.0,32,V1,1.622054174674752,86.0,0.2703349871824119,74.0
2024-09-13,R052,7.0,36,V1,1.0985259048947758,218.0,-0.23302277991605513,183.0
2024-09-13,R056,7.0,34,V1,1.6897820512117978,336.0,0.1361088320652004,279.0
2024-09-14,R048,7.0,33,V1,1.8205221791088828,361.0,0.1984680044341307,303.0
2024-09-14,R052,7.0,37,V1,1.1247978241878545,205.0,0.026271919293078705,173.0
2024-09-14,R056,7.0,35,V1,0.8529128204847193,199.0,-0.8368692307270785,153.0
2024-09-15,R048,7.0,34,V1,2.156328389846862,343.0,0.33580621073797934,295.0
2024-09-15,R052,7.0,38,V1,1.281059390543749,186.0,0.1562615663558946,145.0
2024-09-15,R056,7.0,36,V1,0.9233258974120118,210.0,0.07041307692729248,180.0
