animal_id,fix_experiment,stage,date,hits
R052,V1,7.0,2024-09-19,1.0
R052,V1,7.0,2024-09-20,1.0
R052,V1,7.0,2024-09-21,1.0
R052,V1,7.0,2024-09-22,1.0
R052,V1,7.0,2024-09-23,0.9933774834437086
R052,V1,7.0,2024-09-24,0.9962406015037594
R052,V1,7.0,2024-09-25,0.9955555555555555
R052,V1,7.0,2024-09-26,0.9945652173913043
R052,V1,7.0,2024-09-27,1.0
R052,V1,7.0,2024-09-28,1.0
R052,V1,7.0,2024-09-29,0.991044776119403
R052,V1,7.0,2024-09-30,0.9827160493827161
R052,V1,7.0,2024-10-01,0.992831541218638
R052,V1,7.0,2024-10-02,0.9820143884892086
R052,V1,7.0,2024-10-03,0.973293768545994
R053,V2,5.0,2024-08-04,0.9090909090909091
R053,V2,6.0,2024-08-05,0.8972602739726028
R053,V2,6.0,2024-08-06,0.8790697674418605
R053,V2,6.0,2024-08-07,0.8835616438356164
R053,V2,7.0,2024-08-08,0.7671232876712328
R053,V2,7.0,2024-08-09,0.8071065989847716
R053,V2,7.0,2024-08-10,0.9010989010989011
R053,V2,7.0,2024-08-11,0.9033816425120773
R053,V2,7.0,2024-08-12,0.8440366972477065
R053,V2,7.0,2024-08-13,0.895
R053,V2,7.0,2024-08-14,0.8248847926267281
R053,V2,7.0,2024-08-15,0.5924170616113744
R053,V2,7.0,2024-08-16,0.717948717948718
R053,V2,7.0,2024-08-17,0.8457446808510638
R053,V2,7.0,2024-08-18,0.8813559322033898
R053,V2,7.0,2024-08-19,0.8529411764705882
R053,V2,7.0,2024-08-20,0.8878205128205128
R053,V2,7.0,2024-08-21,0.9359430604982206
R053,V2,7.0,2024-08-22,0.949438202247191
R053,V2,8.0,2024-08-23,1.0
R054,V1,5.0,2024-08-06,0.927007299270073
R054,V1,5.0,2024-08-07,0.75
R054,V1,5.0,2024-08-09,1.0
R054,V1,5.0,2024-08-11,1.0
R054,V1,5.0,2024-08-12,
R054,V1,5.0,2024-08-13,0.9828326180257511
R054,V1,6.0,2024-08-14,0.9790209790209791
R054,V1,7.0,2024-08-15,1.0
R054,V1,7.0,2024-08-16,0.8
R054,V1,7.0,2024-08-17,0.9920634920634921
R054,V1,7.0,2024-08-18,0.9918032786885246
R054,V1,7.0,2024-08-19,0.9854545454545455
R054,V1,7.0,2024-08-20,0.9768211920529801
R054,V1,7.0,2024-08-21,0.9791666666666666
R054,V1,7.0,2024-08-22,0.9966555183946488
R054,V1,7.0,2024-08-23,0.9546925566343042
R054,V1,7.0,2024-08-24,0.9869706840390879
R054,V1,7.0,2024-08-25,0.9914040114613181
R054,V1,7.0,2024-08-26,0.9854014598540146
R054,V1,7.0,2024-08-27,0.9953271028037384
R054,V1,7.0,2024-08-28,0.9861751152073732
R054,V1,7.0,2024-08-29,0.9959677419354839
R054,V1,7.0,2024-08-30,0.9880239520958084
R054,V1,7.0,2024-09-04,0.9873417721518988
R055,V2,5.0,2024-08-03,0.9849624060150376
R055,V2,6.0,2024-08-04,0.976271186440678
R055,V2,7.0,2024-08-05,0.9908814589665653
R055,V2,7.0,2024-08-06,0.9876543209876543
R055,V2,7.0,2024-08-07,0.9957446808510638
R055,V2,7.0,2024-08-08,0.9919354838709677
R055,V2,7.0,2024-08-09,0.9793103448275862
R055,V2,7.0,2024-08-10,1.0
R055,V2,7.0,2024-08-11,0.9776119402985075
R055,V2,8.0,2024-08-12,0.9884615384615385
R056,V1,5.0,2024-08-04,0.8757225433526011
R056,V1,6.0,2024-08-05,0.9591836734693877
R056,V1,7.0,2024-08-06,0.9811320754716981
R056,V1,7.0,2024-08-07,0.9523809523809523
R056,V1,7.0,2024-08-08,0.9897260273972602
R056,V1,7.0,2024-08-09,0.8776371308016878
R056,V1,7.0,2024-08-10,0.8316498316498316
R056,V1,7.0,2024-08-11,0.9401408450704225
R056,V1,7.0,2024-08-12,0.9276595744680851
R056,V1,7.0,2024-08-13,0.9655172413793104
R056,V1,7.0,2024-08-14,0.9753086419753086
R056,V1,7.0,2024-08-15,0.966804979253112
R056,V1,7.0,2024-08-16,0.9755102040816327
R056,V1,7.0,2024-08-17,0.9798657718120806
R056,V1,7.0,2024-08-18,0.9810606060606061
R056,V1,7.0,2024-08-19,0.9919354838709677
R056,V1,7.0,2024-08-20,0.9929577464788732
R056,V1,7.0,2024-08-21,0.9747474747474747
R056,V1,7.0,2024-08-22,0.9948717948717949
R056,V1,7.0,2024-08-23,0.9858490566037735
R056,V1,7.0,2024-08-24,0.9896907216494846
R056,V1,7.0,2024-08-25,0.9855072463768116
R056,V1,7.0,2024-08-26,0.9914893617021276
R056,V1,7.0,2024-08-27,1.0
R056,V1,7.0,2024-08-28,0.9941176470588236
R056,V1,7.0,2024-08-29,0.9950980392156863
R056,V1,7.0,2024-08-30,1.0
R056,V1,7.0,2024-09-04,0.9783549783549783
R056,V1,7.0,2024-09-05,0.9961832061068703
R056,V1,7.0,2024-09-06,0.9951456310679612
R056,V1,7.0,2024-09-07,0.9949748743718593
R056,V1,7.0,2024-09-08,0.9951923076923077
R056,V1,7.0,2024-09-11,0.989010989010989
R056,V1,7.0,2024-09-12,1.0
R056,V1,7.0,2024-09-13,0.9934640522875817
R056,V1,7.0,2024-09-14,0.9944444444444445
R056,V1,7.0,2024-09-15,0.9906542056074766
R056,V1,7.0,2024-09-16,0.9826388888888888
R056,V1,7.0,2024-09-17,0.984
R056,V1,7.0,2024-09-18,0.9838709677419355
R056,V1,7.0,2024-09-20,0.9909502262443439
R056,V1,7.0,2024-09-21,0.987012987012987
R056,V1,7.0,2024-09-22,0.9917695473251029
R056,V1,7.0,2024-09-23,0.9908256880733946
R056,V1,7.0,2024-09-24,1.0
R056,V1,7.0,2024-09-25,0.9932885906040269
R056,V1,7.0,2024-09-26,1.0
R056,V1,7.0,2024-09-27,0.994535519125683
R056,V1,7.0,2024-09-28,1.0
R056,V1,7.0,2024-09-29,0.9917582417582418
R056,V1,7.0,2024-09-30,0.9836512261580381
R056,V1,7.0,2024-10-01,0.9814814814814815
R056,V1,7.0,2024-10-02,0.9817518248175182
R056,V1,7.0,2024-10-03,0.9898305084745763
R056,V1,7.0,2024-10-04,1.0
R057,V2,5.0,2024-08-05,0.9660633484162896
R057,V2,6.0,2024-08-06,0.9798657718120806
R057,V2,7.0,2024-08-07,0.9801699716713881
R057,V2,7.0,2024-08-08,0.990990990990991
R057,V2,7.0,2024-08-09,0.9779179810725552
R057,V2,7.0,2024-08-10,0.9897172236503856
R057,V2,7.0,2024-08-11,0.9887005649717514
R057,V2,8.0,2024-08-12,0.9954022988505747
