mass,weighing,date,ratname,tech,timeval
17.56,1091309,2022-09-15,R600,JL,0 days 10:47:55
20.57,1091493,2022-09-16,R501,JL,0 days 08:53:51
19.63,1091494,2022-09-16,R500,JL,0 days 08:54:28
21.18,1091495,2022-09-16,R503,JL,0 days 08:54:59
19.90,1091496,2022-09-16,R502,JL,0 days 08:55:43
17.49,1091499,2022-09-16,R600,JL,0 days 10:01:02
20.83,1091657,2022-09-17,R503,ER,0 days 07:45:50
20.20,1091659,2022-09-17,R501,ER,0 days 07:47:01
19.73,1091660,2022-09-17,R502,ER,0 days 07:48:02
19.41,1091661,2022-09-17,R500,ER,0 days 08:54:24
17.70,1091662,2022-09-17,R600,ER,0 days 08:56:39
19.69,1091842,2022-09-18,R502,ER,0 days 07:48:05
20.48,1091843,2022-09-18,R501,ER,0 days 07:49:19
20.91,1091844,2022-09-18,R503,ER,0 days 07:50:18
19.09,1091845,2022-09-18,R500,ER,0 days 08:57:13
17.92,1091847,2022-09-18,R600,ER,0 days 09:00:36
20.90,1092025,2022-09-19,R503,EF,0 days 07:46:53
20.49,1092026,2022-09-19,R501,EF,0 days 07:47:36
19.94,1092027,2022-09-19,R502,EF,0 days 07:48:31
19.06,1092031,2022-09-19,R500,ER,0 days 08:54:21
18.29,1092034,2022-09-19,R600,ER,0 days 08:56:58
19.13,1092226,2022-09-20,R500,JL,0 days 08:44:00
20.61,1092227,2022-09-20,R501,JL,0 days 08:44:29
20.05,1092228,2022-09-20,R502,JL,0 days 08:45:15
20.61,1092229,2022-09-20,R503,JL,0 days 08:45:53
18.18,1092231,2022-09-20,R600,JL,0 days 09:52:18
20.33,1092407,2022-09-21,R503,JL,0 days 08:59:20
18.95,1092408,2022-09-21,R500,JL,0 days 09:00:19
20.20,1092409,2022-09-21,R502,JL,0 days 09:00:58
20.61,1092410,2022-09-21,R501,JL,0 days 09:01:45
17.89,1092412,2022-09-21,R600,JL,0 days 10:08:10
20.03,1092587,2022-09-22,R503,JL,0 days 08:37:46
18.70,1092588,2022-09-22,R500,JL,0 days 08:38:18
20.05,1092589,2022-09-22,R502,JL,0 days 08:38:49
20.56,1092590,2022-09-22,R501,JL,0 days 08:39:28
17.85,1092592,2022-09-22,R600,JL,0 days 09:45:28
20.10,1092756,2022-09-23,R502,JY,0 days 10:13:18
19.83,1092758,2022-09-23,R503,JY,0 days 10:16:01
20.49,1092759,2022-09-23,R501,JY,0 days 10:18:25
18.57,1092760,2022-09-23,R500,JY,0 days 11:26:28
18.01,1092762,2022-09-23,R600,JY,0 days 11:30:00
20.54,1092910,2022-09-24,R502,ER,0 days 07:47:21
19.51,1092911,2022-09-24,R503,ER,0 days 07:48:35
21.11,1092913,2022-09-24,R501,ER,0 days 07:49:47
18.39,1092914,2022-09-24,R500,ER,0 days 08:54:43
18.20,1092915,2022-09-24,R600,ER,0 days 08:56:59
19.34,1093087,2022-09-25,R503,ER,0 days 07:42:34
20.90,1093088,2022-09-25,R501,ER,0 days 07:43:23
20.65,1093089,2022-09-25,R502,ER,0 days 07:44:41
18.73,1093090,2022-09-25,R500,ER,0 days 08:50:01
18.23,1093091,2022-09-25,R600,ER,0 days 08:52:03
20.85,1093244,2022-09-26,R501,ER,0 days 08:11:02
19.59,1093245,2022-09-26,R503,ER,0 days 08:11:54
21.00,1093246,2022-09-26,R502,ER,0 days 08:12:29
19.03,1093247,2022-09-26,R500,ER,0 days 09:29:32
18.02,1093248,2022-09-26,R600,ER,0 days 09:32:15
,1093386,2022-09-27,R500,FW,0 days 14:28:43
,1093387,2022-09-27,R501,FW,0 days 14:28:43
,1093388,2022-09-27,R502,FW,0 days 14:28:43
,1093389,2022-09-27,R503,FW,0 days 14:28:43
,1093390,2022-09-27,R600,FW,0 days 14:28:43
,1093508,2022-09-28,R500,FW,0 days 23:51:58
,1093509,2022-09-28,R501,FW,0 days 23:51:58
,1093510,2022-09-28,R502,FW,0 days 23:51:58
,1093511,2022-09-28,R503,FW,0 days 23:51:58
,1093512,2022-09-28,R600,FW,0 days 23:51:58
21.39,1093590,2022-09-29,R501,ER,0 days 08:52:16
21.78,1093592,2022-09-29,R503,ER,0 days 08:53:25
21.01,1093593,2022-09-29,R502,ER,0 days 08:54:10
22.96,1093595,2022-09-29,R500,ER,0 days 10:03:26
19.18,1093597,2022-09-29,R600,ER,0 days 10:04:39
21.21,1093783,2022-09-30,R502,ER,0 days 08:36:21
21.53,1093784,2022-09-30,R503,ER,0 days 08:37:33
21.53,1093785,2022-09-30,R501,ER,0 days 08:38:36
21.70,1093787,2022-09-30,R500,ER,0 days 09:46:40
19.38,1093788,2022-09-30,R600,ER,0 days 09:47:39
21.90,1093955,2022-10-01,R501,ER,0 days 07:51:52
21.21,1093956,2022-10-01,R502,ER,0 days 07:53:21
